mdng,fr,mdng-remain,fr-remain
"Fidni, tə biŋ biŋ","Pluie fine, fin, petite pluie"," Bam tə bokki (bokni, vokki), ’yah faa bam tə tan biŋ biŋ Mo pəə ka ba, bam tə bok (fid, vok) ba", 
We mai mo byaŋ gin lal ne kol (kul) ah daŋ kotolok (kotolom),Qui sort avec le placenta,, 
Kpak ahe,"Différent, varié, variété"," Syem mai mo ge dai ɓo pə duniaru zəzəə laŋ a ne bolgoŋ (valgoŋ) ah cam, ’yah faa, a ne kpak ahe Suu mai za Kristu mo ga lwaara coksəŋ, a pəsah ne valgoŋ ah cam ne suu ma wo sərri", 
"Col ma laŋne, fan ŋhəə yimmi",Filtre pour bière de mil," Ŋwəə ŋhəəra yim ne bolle, a ne zah vaŋno A kaŋra bol ne faa ma ɗii ne swəəbolle ", 
"Mo ee bulli, ɓtv yo","Dispute, querelle, palabre", , 
Ɓaŋ fan jol dəɓ ki ka soo com ki ba,"Dette, bon"," Ɓaŋ bol, wala val solai dah gwa jol ɓe ka soo ba Dəɓ moo ka soo bol, wala val ya", 
"Fan syenne, gaɓɓe, cuu syakke","Malheur, misère, souffrance, détresse"," Me tə laa bone pəlii Bone camcam no wo sər pəlli Jeertə ahe: Jam, ’yakke 
", 
"A təki boono (vaŋno) ne bokbok, pənikki","Fin, doux"," A pə jol bonok bonok 
", 
"32 Kəta, maki","Il se peut, peut être"," Mboorĩi, we tə ga luma no, bonta (maki) we yaŋ təl gin gŋ pəlli ne! 
", 
Boŋ tə sye me,Poitrine," Boŋ (gəəzyii) ɓe daŋ ka pəswah ya, me tə i tə’yak laŋ a sye me 
", 
"Dəɓ mai cok kan ŋwəə ah mo pəə ɓe, so ka ɗəə (lwaa) ya",Célibataire," 
", 
" Ur ɗulli, təŋ ɗulli, toŋ (cuŋ) ɗulli",Se mettre à courrir," Laako ɓə ah to boo (ur, toŋ (cuŋ), təŋ ɗulli 
", 
"Mo ee bulli, balle, ɓtv yo",Pancréa, , 
Kuu (kpuu),Liane," A dəə tə jol kuu (kpuu) maluu ah ra Za coo təker (təkee) ne lee ahe A ruŋ pəgbəə 
", 
Pal,"Un, unité"," Təŋ kee fanne Ame ne gii (gwii) boono (vaŋno), dəə gwa, kah sai Gii ɓo mo pəpaa laŋ, mo təra boono boono daŋ ne zahsyiŋ ɓəəra", 
"Lee baare, leemuŋ, naasyiŋ daŋ pə boore (mɓəəre)",Acidité," Mo laa fan boo (mbəə) pə’nyah ne? 
", 
Kpuu (kuu),"Ximenia americana (Cérise sauvage, fille brune)"," Lee boo ruŋ pəsyee Boo ne waa wo suu Mo ruŋ, mo ruŋ ya ba daŋ, a yea pəboore (pəmbəəre) Za lah boo (voo) lahni, za coo təker (təkee) ne ko ta Za Mundaŋ a sahra, wala cwahlra (corra) weeŋwəə ma ne suu syea ne faa: « masyee boore, a zu zahki ne mo ne »!", 
33 Nəə,Rat palmiste," Boo (bəə) dər (jur) geefaa, wala magee ɓo, a pə’man kal geefaa ɓe, a re faa Boo (bəə) yea pee, ma kal daŋ ah yea mor tahnne", 
"Gboŋgboŋ, ɓə sahe, wala dəɓ sahe",Générosité," Dəɓ boo (bəə) a doŋ (joŋ) fan daŋ pəjiŋ, wala pəsahe 
", 
Fan wo suu dəpuu (dəfuu),Nez, Boo a kəsyil zahpel ne təkpuuzahe Dəɓ laa fuŋ fan ne boo (voo) Faɓal laara fuŋ fan ne boo ɓəə pəlli kal dəfuu ɓe, 
Pəyəkki,"Lourd, très lourd"," Ur botok, pəyəkii kal ne syel botok botok", 
Fan fuŋrĩi (fuŋni),Parfum qui sens mauvais," Bozok yea pəzyil kuu, ɓərdi pəzyil kuu yo, a fuŋ pə gbah Za ɗii ne kəsak mambwakmərrĩi 
(mavakmərrĩi) ta", 
Tə ɓo səŋ (kəsəŋ),"Pendant, pendante"," Ɓər tə ɓo səŋ ɓozokzok, wala gozokki Ɓər ah pə’manne, ŋhaa ɗər ge səŋ bozokki Ɓər tə ɓo bozok (gozok)", 
"Təkpel mai za mo rək bii mor kahe, mafokki, wala koo gwii","Jarre oû boivent les poulets, les animaux domestiques",, 
"Cii fanne, ne swahe",Bruit des ailles," Juu, mafokki lə ko ne yee, wala həə buɓ Loo zoo gin tə paa buɓ buɓ Buɓ, wala buɓbuɓ, cuu fan mai dəɓ mo laa cii ahe", 
"Pənikki, pə cuuri","Fin, fine", Sum ah swah ɓo bukbuk (bonok bonok) Za ki faara ɓukɓuk Sum ah laŋ ɓo ɓukɓuk, 
34 Lahki,"Palabre, dispute, querelle"," Faa ɓə nyi ki ne kpahe We doŋ (joŋ) bul (bal, bol) tə ɓə feene? Za gwa, koo sai tə boora (bəəra) bulli (balle, bolle) Doŋra bul (bal, bol) kəsyil ki pəlli", 
"Fan pə cii ɓərri, a ree ma tə manjwoklii",Pancréas," Bul (bal, bool) dər (jur) zyii ɓo, ka pə’man dai zyii ya, amma a pə wahl kal zyii ɓe Bul mo baa dəɓ ɓe, a yea pəgaɓɓe, wala pəgille ", 
"Mo ee mbəloori, ɓtv yo",Grand chapeau de paille, , 
"Mo ee bərkilli, ɓtv yo",Arbre, , 
Ne swahe,Bruit du vent," Fan mai dəɓ moo laani Zyak kuu ne swah buubuu (vuuvuu) Kuu təyim təl ah buubuu (vuuvuu) zah ləŋ gwa nai sə Zyak mo tə kuu ɓe, dəɓ laa cii ah buubuu (vuuvuu)", 
Mo ee fuuni,"Cacher, couvrir"," ɓtv yo 
", 
"Me buu (vuu) yaŋ ɓe ɓər gwa, me buu (vuu) ne darŋgel ma syee ahe","Construire, batir, maçonner", Me buu doŋ (joŋ) zah’nan sai ɓe ॥əɓ gak faa kan yaŋ ta, 
Za buu (vuu) yaŋ ne buuri (vuuri),"Argile, banco"," Zan ki ɗiira ne vuuri, zan ki laŋ ɗiira ne buuri Ŋwəə buura (vuura) cii ne buuri (vuuri)", 
"Za cwak coora kpah, zəə, nyahe ne 
bwomme (vamme)","Fer, métal"," Bwom solai no, bwom coo fan no ta “Bwom syee ka sob ki mor wii ya”", 
"Hai, bai yella, gbyan","Salot, comportement drôle, partout"," Dəɓ ah joŋ fan byah (gbyan) A syesyel byah Byah cuu dəɓ ma bai tətəlli Dəɓ ah byah ne ɓə 35 faa zah ah daŋ Dəɓ gak faa dəɓ ah doŋ (joŋ) fan byahbyah jeertə ahe: Yella, pəsahe", 
"॥ii syiŋrĩi, kyeɓ yella lwaa dəɓ ma kiŋ nyinni","Jetter le sort, tirer au sort"," Za faa pəram na byah syiŋrĩi (baŋ sanne), dah a gbə zune?", 
"Dahe, ceere, in pə wulli, ee ge wo ki","Ecraser, serrer contre"," Byah səwəə ne ɓalle, wala ne jolle Za byah tandii Za gak byah (keate) syee tə fahswul ta Təsal lee byah ɓal ahe", 
"Pəlli, pə’manne","Partout, souillé"," Dəɓ ah roo faɓea ɓo wo suu byakbyak Wee nyee təra ɓə ki ya, a gak roora mər byakbyak woo suu", 
"Dəɓ mai za mo gbə ko ɓo zah salle, wala za mai mo leera ko ɓo lee","Esclave, captif, prisonnier"," Za gak lee byak ne fan camcam Byak ka yea ne tətəl suu ah, wala ne ɓə suu ah kpee ya Byak cam ne dəɓ ma joŋ yeɓ nyi dəɓ ki Pə sər Mundaŋ ɗəɓ laa ɓə byak goŋ to", 
"Kyaŋ fanne, kyaŋ dəɓɓi, ee fanne ka nyin mo ge ɓaŋ ka, dəɓ mo juu ka","Attendre, conserver, proteger, patienter, garder, guetter"," Mo byak me ɗao Me tə byak gin ɓo daga ɓaaɓe Me byak juu ’wahe Jeertə: Bai kyaŋ dəɓɓi, bai byak fanne, bai ɓaŋ syiŋ ɓə", 
"Sor (swə) mai mo cam ɓo camme, za ka pəpəə ya","Ivraie, faux mil"," Za kə Torrock ne za Kah Elle ɗiira ne byaklee, wala swə kolle Za kə Ləəre ɗiira ne bəəlee Za ki ɗii ne swə (sor) zahe ta", 
"Mah ɓə, ’manna ɓə, goŋga ɓə, ryakryak ɓə","Vraie, vérité", Mo faa byaŋ ɓə ɓo ge lalle Byaŋ ɓə ah ko ye mo tə faa ge ŋhoo syee , 
"36 Byaŋ ɓə (ɓo), cuu: Ge ne ɓə, gea ɓə, ɓoo ɓə ga pə ɓə, faa ɓə pəpaare",Compliquer les choses," Me kwo ɓə ah pə gaɓ ya, so ge byaŋ ɓo (ɓə) gŋ pəlli", 
Cok mawin ma ne ɓil mo kaa ɓo tə byaŋne,"Moment, période, temps"," Cok byaŋ ah ge ya ba, kaa ɓo tə kyaŋ byaŋne Ɓər syen byaŋ təŋ mawin ah ɓo, wala mawin kaa byaŋ ɓo Mawin mo kaa byaŋ ɓo ba ɓe, za yeara ne ɓə foo ah", 
"Pəə wel moo pəə ɓər mah ge lalle, wala mawin mo gaɓ ne yeɓ ahe","Naitre, accoucher, enfanter, engendrer, mettre bas"," Wel byaŋ ge lalle Mawin ah byaŋ pəgaɓɓe Wee mo byaŋ ge mor ki gwa sə ɓe, ka ma ɓəə rək ra ɓo rəkki (rəkke) Mawin mo byaŋ wee ɓo pəpaa ɓe, ka bem ɓo pəlli Byaŋ cuu vaŋno, bem cuu pəpaare Mawin ma tan ɓə byaŋ ɗii ne mabyaŋne Mawin mai mo byaŋ ɓo ɗii ne macerre Dəfuu ne faɓal daŋ bemra weere Fan manyeeki ah syerra syerre Makah syer weere Sor ne faa bemra tətəl gin lalle, ka bemra wee ya, a bemra tətəlli", 
"Pəsyee zah ki byea (bea, kee)",Pl de rouge," Faɓea syer ɓo pəsyea byea (bea, kee) Za faara ta, a pəsyee bənyo ", 
"Ɓaa təbeere, faa ɓə ne swahe","Gronder, tonner, devenir vif", Lai dəɓ ne kpahe Mo byee zuu gin ne? Mo byee me ne swah me ye we ɓo ne? Wii gak byee mor syea təgbana ɓaŋ kpah ɓo ta Nəə ma ne nəm bee wii ne cok dəɓ mo təcwah tə wii, 
"Mo ee bee, ɓtv yo","Bruits des chicottes, des feuilles"," 
", 
"Mo ee beere, ɓtv yo 
",Poisson,, 
"Za ka ne byee daŋ ya, a yea wo zan ki vaŋno vaŋno no",Petite bosse qu’on trouve à la fesse chez certaine personne," Byee yea təgəə cel ne zahmər mo zyaŋra ki gŋ, a pə cok səə faɓalle", 
37 Nəə cokki,Animal," Byee (bee) jur gwii ɓo, amma gwii kal ne ’man ɓe Zahmor byee pəwahlle pəwahe Byee a swan pə lakre, a ren səwəəre Byee kəka pəlli na nəə manyeeki ah ya ", 
"Gaaram, pənyiŋ","Très maigre, mince"," Syem joŋ dəɓ ah ɓo ne? zuŋ ɓo byee (kəmbəram, keŋgeraŋ) Dəɓ ah ne suu nyiŋ byee, (keŋgeraŋ)", 
"Tai fan pəlli, woo fan pəpaare",Ramasser beaucoup," Dəɓ ah byəŋ, woo, wala foo zəə mor jol pəpaa ge dai me ne ko Za ki byəŋra goo wo suu ka kəə wee ne ko Fan mai mo joŋra a dii ne: Mabyəŋgooda, wala mabyəŋgoo Mabyəŋgooda (mabyəŋgoo) nĩi mo taa ɓe ne?", 
॥uu galle,"S’étourdir, s’épouvanter"," Me ge dai cok maki ah tətəl byəŋ (syii, kiŋ) me gŋ Tətəl mo byəŋ (syii, kiŋ) dəɓ ɓe, a yea pəyəkki, suu woo, wala coo dəɓɓi, dəɓ ka gak syee pəsah ya ta", 
"Laŋ haihai, ’wahl tə fan mai mo yea zyeɓ ɓo ne cok ahe","Perturber, enlever"," Dəɓ gak bə fan mai mo zyeɓ rək ɓo, mo tai ɓo təki Dəɓ bə ɓer fan mai mo ne ’nahm ka mo nəə pəsahe, bə ɓər gbelle, ɓər ŋhəəre Za gak bəra ki ne ɓə, bəra balle, ’yah faa mgbai ki ne ɓə", 
"Manjaktərilli, wee təngyo",Grenouille de sable," Bəaarĩi (pənyaare) ka pəluu ya, a yea mor təkuuri, wala pə bii ma tə ryaɓryaɓ Za ki ɗiira ne bəaarĩi, wala pənyaare Za ki renra 
pənyaare, təgbana zan ki moo renra təngyo ta, za ki ka rera ya Pənyaa syer pəlli ne zahgwahlle", 
Goo bəbai,Feuilles," Goo ah dədəəni, sok pənyiŋ syesye (syerkel syerkel) Pərri, dəə ne gwii daŋ renra pəlli Za saaŋ goo bəbai ur gwəə goŋ ne ko", 
"38 Jur (dər) mənnəə ɓo, goo ah pə’ah kal goo mənnəə ɓe, nai ne lee ah ta",Palmier doum," 
", 
"Bəbələm (madare, mazərikki) jur dao ɓo, wala syiiri; za ka ren a, amma, za re ne syii koŋne, a əə zane",Arbuste," A pəgbahe, a gbəə kyaŋ", 
Goo zahlaore,Feulles," Goo ah pə ’ahe biŋbiŋ Weeŋwəə makəpel təəra saa sahe daa bəlum ne zahyaŋ goŋe, ciŋ təɗii ah sə o: Bəbəə zahyaŋ goŋe", 
"Bəɗaa (bakəɗaa, mababəɗaa) pəlaŋne dai bəaarĩi (pənyaare) ne ’man a, a zwə na ŋgyo ta, a yea pə bii matə ryaɓryaɓ ahe, za ka ren bəɗaa ya",Petit reptile semblable aux grenouilles,, 
"Kee, pəsyee",Rouge vif," Cuŋ ruŋ ɓo tə kpuu səŋ bəɗam (pəyee kee) Kəə gbə cok ɓo səŋ bəɗam (pəsyee) 
", 
Me faa ɓə nyi nai to ur bəɗam (borɗam) kalle,Rapidement,, 
Biŋ,"Un peu, peu"," Nyi me pəlli ya, a bəɗeo (boɗao) nai sye Mo ɗəə bəɗeo (boɗao) ɓe, daŋ ɓe Jeertə ahe: Pə’manne, pəlli ", 
Biŋ,Un peu," Foo wesum nyi me bəɗok Mo fok sah mor ah bəɗok ɗə Jeertə ahe: Pəlli 
", 
"Pəlli, ɗəkiɓ, haihai",En désordre," Me maa jol ge zah ahe, me ’naa fan ge lal bəɗol Fan ma yaŋ ah ne zah bəɗol Dəɓ mo bəɗol ɓe, ka pah ah ka wyaŋwyaŋ ya Bə faa ah laŋ a yea bəɗol bəɗol", 
39 Kpuu,Foretia apodanthera (batonnet pour remuer la sauce)," Kpuu bəɗyaknaa 
(səmberyakke) a ɓer jol pəlli Kpuu ah ka giŋ kal təl dəfuu pəlli ya Ŋwəə zyeɓra bəɗyaknaa (səmberyakke) ka laŋ naa ne ko A inra won ne ta Kpuu ah fai pəfai kaŋkaŋ ne cokcwaklii Za ɗii ne bəɗyaknaa mor a juu naa bəɗyak bəɗyak", 
"Biŋ, nje",Légère touche, Me juu ne jol bəɗyak (fiɗyak) nai to cwah me sə Dəɓ mo juu tədah bəɗyak (fiɗyak) ɓe a vəl sə , 
Gbər,Ouvrir," Mo bəiŋ (bəŋ) zahfah nyi (hiŋ) ko Oho, zahfah ne bəiŋ no Mo bəiŋ zahfah ka ba, cil tə huuni (wuuni) Jeertə ahe: Coo, coo", 
Fan mai mo pəkərahmo na masəlai,Bleu," Za rəkra ga pə bii ka maa fan fai ga gŋ Bii bəlaa (səgin, sigin) 
pəsahe, a foo fan na masəlai, amma, ka ga lii ya, a nəə gwari ", 
"Təndaŋ, bəvah, gəvak",Tombant," Lee ɓo səŋ bəlah Sok nəə mai mo uu ɓo ka səŋ ya daŋ, a yea bəlah (bəvah) 
", 
"Gəvak gəvak, təndaŋ təndaŋ",Tombants," Sok wee goo nyee yea bəlah bəlah Nəə ma sok tə bəlah bəlah no ta Jeertə ahe: kyu kyu, wala kiryu kiryu, kəiŋ kəiŋ", 
"Təkaare, a pəfai, a syer pə manjoklii",Ténia," A gak yea ɓər dəfuu, ne ɓər faɓal laŋ ta Dəɓ mo ne bəlahnjii (səŋgaa, zoore, bolamanjii) ɓe, dəɓ ah ka ŋwoo ya, a ren farel ɓər ahe, koŋ iko pəlli", 
"Fan mor kyaŋ dəə mai mo pə ’ahe, mo ɓoo ɓo bəlah",Pente de boeuf," Bəlah, vəə (ɓəə) mor kyaŋ dəə Dəɓ mo rəə, raa, wala laɓ morkyaŋ dəə ɓe, ka mo tə laɓ bəlah (bəə) ahe Pər ne korro kara ne bəlah (bəə) morkyaŋ ya", 
40 Bəlah,Corne tombante," Ciŋ bəlai Dəə mai ciŋ ah mo uu ɓo ka səŋ ya daŋ, ka ciŋ bəlai yo Madəə ciŋ bəlai no 
", 
"Mo ee ɓəlai ɓəlai, ɓtv yo","Main vide, sans rien trouver ", ,
Cok ee wee nyee matə kpee,Regard d’un enfant," Ɓə faa za kə Ləəre We (məlaŋ) mai a ee dəɓ bəlam bəlam 
", 
"Nyah keesyerre, a ne syel ŋhərem, a ŋgoŋ fanne",L’écorce du tige du mil,, 
"Fan maa ɓalle, bəlam (bulam) yea pə ’ahe, ka na təŋwoo, ne təkaŋ ya","Parure, colliers en cuivre pour les chevilles des femmes du chef "," Ŋwəə goŋ ye maara pə cok wul ki Mawin mai mo kaa bai ɓo ye maani, a mor kyik wulli Ŋwəə mafuu ma pə wulli mo ɓah kan goŋ ya ba, maara syee ne ta Ŋwəə za syak ka yeara ne bəlam (bulam) ya Bəlam ɓalle, fan yək yaŋ goŋ yo",
"Wel ah ɓaŋ tə bəlam (tə mbəlam, tə ɓal) pam ɓo","Traces, pistes"," Gao ɓaŋ bəlam (mbəlam) nəə ka dəni 
", 
Bəlyuu bəlyuu,Langue de flammes," Pə’manne, pəlli, ne swahe, ne həəre, gwari gwari Wii zoo ge səŋ bəlao (bəlyuu) Mo ul wii də bəlao (bəlyuu bəlyuu)", 
"Mo ee bəlah, bəə, vəə, ɓtv yo",Pente de boeuf, , 
"Wəəre, vəlli (bəlli), syelle","Détacher, libérer, enlever"," Mo bəlao (bəl) sal gwii, wala sal sol dəə ge lalle Mo bəlao ra gwa daŋ Mo bəlao (mgbai) təl yaŋ ah lalle, a zuuni", 
Beremme,Arbre épineux," Kpuu, a ne waa Bəlee a dəə ga tə kpuu manyeeki ahe Waa wo suu ah ne lii ah daŋ Təɗii ah ye waa bəlee 41 ta Za ki ɗiira ne beremme A yea pə cok ma na gəəre Za baŋra ga wo kor ka gwii mo lwaa ɓeɓ ka 
", 
Daa,Danse des flutes pendant la fête traditionnelle Moundang," Daa ma daa zah yaŋ goŋ ne cok za moo nəə zahbəlee Daa ma cuu zahsyiŋ za Mundaŋ ye ta Za ləəra mor ki, ko laŋra ɓal zah ki Wee maŋwəə gin gbanra za ma dədaa, a ɓaŋra ɓal ga zah ki, zah yuŋni A ɗiira wee ah ne goo bəleere, wala goo Məə ɓəə a ɗəəra yikswul ne fĩi Mundaŋ, a ciŋra ŋwəə zan ah ta ", 
Kpuu,Arbre néré," Goo bəlee (belee) jur goo səsahrĩi (təsyearĩi) ɓo A lee na əə, amma lee ah pəwahe kal mə əə ɓe, so pəluu kal ɓe ta Bəlee mo ruŋ mo yak ɓe, a yea pə gbəə Dəɓ mo lah pəlli ɓe, a syen zahzyilli, a zwəə dəɓ ta Za ki a kanra tənjii ne nah bəleere", 
Kpuu ah ne goo ah daŋ jur mombai ɓo,Arbre, Za cen kərkpah ne ko Kuu ah yea zahpil pəlli , 
"Za ɗii ne: Maraazwaŋ, sor zahe, sor maɓeare ta","Ivraie, faux mil"," Sor mai dəɓ ye mo ka ruu ya, mo ciŋ suu ahe Zaki ɗiira ne byaklee, zanki ko laŋ ɗiira ne bəlee Bəlee jur sor ɓo pəlli ne goo ah ne tə byaŋ ah daŋ sor ah mo yak ɓe, a ’mər ga səŋ suu ahe Dəɓ mo raa ɓe, a ɓuu ga səŋ ta Bəlee (byaklee) ŋ suu ah pə ’wəəre mor ka lwaa ciŋni", 
"Dəə, gii (gwii) mai mo ka ne ciŋ ya",Animal sans cornes, , 
Syelle,"Délivrer, détacher, reprendre"," Bəl (wəə) dəə mai mo saa ɓo tə wommi Za gak bəlra lee fan laŋ no ta, ’yah faa jin nyiŋ lak lee fan ahe ", 
"Mo ee bəlwəəsoo, ɓtv yo",Plante dont les racines servent à tanner la peau, , 
"Mo ee bəlwəəre, ɓtv yo","Corde pour tresser la paille, arbrisseau", , 
"42 Fan mai mo pə’nyahre, mo pələəri",Bonne chose, Fan ah laŋ ka yea pəlli (pə’manne) ya Dəɓ ah ’yah naa tə pəlum maa ge zah ne pel bəlum, 
Fan waŋni (woŋni),Tambour des danses des jeunes filles," Bəlum (bulum) jur yuŋ (wiŋ) ɓo, amma a pənyiŋ kal yuŋ (wiŋ) ɓe, a ne zah gwa Zahkəlii ne zahkəlaŋne Ŋwəə ’yahra daa bəlum (bulum) pəlli kal za wəə ɓe A bərra bəlum ne “zwakre”, a ɗiira pa ma woŋ bəlum ne pabəlummi", 
Bəlum mai ŋwəə ma kəə syiŋ ye moo daara,Tambour des maitresses initiatique," Bəlumsyiŋ cam ne bəlum ma kol za mo daara 
", 
Goo,"Arbrisseau, corde pour tresser la paille"," A yea tə bəə, wala cok mai gbel mo gŋ Za swaa (paa) suu (sal) ah mor joŋ yeɓ camcam ne ko: Təə ramme, oo (soo) salle, jejerre A soɓra yak daŋ ɗao Za ki laŋ ɗiira ne bəlorcok", 
Goo,Plante dont les racines servent à tanner la peau," A pəcoo kal bəlwəə maki ah ɓe, za joŋ yeɓ ne kan ah pəlli, za ɗuu kan ah maa wak dəə ma ɗea səɓal gŋ voŋ ne ka mo yea pənikki, wala pə cuuri", 
"Təɗe’ təɗe’, vaŋno vaŋno, haihai","Un à un, partout"," Kəzyak mgbai tətəl yaŋ bəlyaŋ bəlyaŋ Loo ɓaŋ sor ’wah ɓe bəlyaŋ bəlyaŋ Fan mo əə dəɓ muŋ ɓe, dəɓ ah kyeɓ cok bəlyaŋ bəlyaŋ", 
"Pə’manne, pəlli","Beaucoup, gigantesque"," Wii tə dan bəlyu bəlyu Mbəro nyiŋ wii ne lii ah daŋ bəlyu bəlyu 
", 
"॥ea ɓo ɗea, wala ŋgəə ɓo ŋgəə ne wah ahe",Rayure en ligne," Kahlah ah ŋwəə ɓo bələr bələrri 
", 
"43 Haihai, pəlli","En désordre, beaucoup"," Zahzyil mo sye za ki ɓe, a faara ɓə bəmma bəmma (bərma bərma) dəɓ ka laa mor ah daŋ ya, za faa: Dəɓ ah tə waa ɓə ta", 
"Mo ee vəmmi, ɓtv yo",Cheveux blancs," 
", 
Səpəə pəbəmmi (pəbərəmmi),"Äpre, méchant"," Sor mo zyee bər (vər) ya ba ɓe, ne lee kpuu mai mo ruŋ ya ba daŋ, a yea pəbəmmi (pəbərəmmi) Za kanra fan bəm (bərəm) ga zah nwahe Za faa dəɓ ah pəbəmmi, ’yah faa: dəɓ ɓe’, dəɓ gaɓɓe", 
Pəmbəəre,Acide," Goo naasyiŋ a bənaa bənaa (bəni bəni), lee baa laŋ a bənaa bənaa (ɓəni ɓəni) ta 
", 
"Pəlaŋne, pəsyee",Roux," Wel ah maki a bənyao nai sə Wel ah ne suu pəsyee bənyao 
", 
Gee,Rat," Məŋgai (bəŋgai) ka yea pə lak pəpaar a, a pəfai nje nje, nahnən bəŋgai pəluuri so a ɗuu pəlli kal gee daŋ ", 
"Mo ee moŋgoro, ɓtv yo",Célibataire, , 
Fan rea fanne,"Colle, latex, cire, glu"," Bəŋgəə (məŋgəə) pəlwahe, ma bai lwah ah laŋ no ta Bəŋgəə tənjwəəre no, bəŋgəə kəəre nora ta", 
"Təɗe’ təɗe’, njur njur",Calciné," Syiŋ əə me syak bər bər Me tə cuu syak matə bər bər 
", 
Me bər (vər) yeɓ ɓe ɓe,"Terminer, finir"," Me ɓər (vər) ɓə ah təsoo ’Wah ɓe bər (vər) ya ba, me tə ga ne yeɓ ah no, faa gŋ pəlli ", 
"44 Bai yeɓɓe, koo ne syemme",Sans travail," Dəɓ ah ɓoo ɓo bəraŋ nai sə Mo ɓaŋ kpuu mai mo lee ɓo səŋ bəraŋ ge ne ko Mo laa bəraŋ kah ’wah ɓe, ka moo tə cuu lee əə", 
Bəraŋ talle,"Plafond de la maison, de la case"," Səŋ ne kəɓər yaŋ Dəɓ mo tə ee cok ga səŋ ɓe, ka tə ee bəraŋ dəəre, wala bəraŋ talle Lii ah za ɗii ne mor bəraŋ dəə səŋ, wala mor tal səŋ", 
Tə ɓao əə,Haricot vert," Lee əə macuur ah mor ’wahe, pə ’wahe", 
Kpuu lao yaŋ malii (maluuri),Pilier," Bəraŋ malii ɓoo ma kəsyil yaŋ, ka kpuu manyeeki ah mo rək ge kah ahe Bəraŋ gak yea gwa, koo sai no Bəraŋ (kpəraŋ) yaŋ mo hao ɓe, yaŋ ah ka yea pəswah yao Bəraŋ kəsyil yaŋ ne waddəə yaŋ ye gbanra yaŋ uu ne pəswahe Za gak lii pah yaŋ ne bəraŋ yaŋ ta", 
Pə’manne,Très chaud," Suu haŋ wii ɓo təɓaktəɓak (bərbər) Cok ah vai yo, dəɓ təə gŋ bərbər Jeertə ahe: Wakkəkə, pəyakke", 
Bai gaɓɓe,S’échapper sans peine," Me gbə swahle (swahli) əə me kal bəren A cuu fan matə biŋ ah ta Mo ee zah nwah ah pəə sam bəren We mai syem mo joŋ ko ɓo pəlli laŋ, zahmər ah a yea bəren", 
Syem yo,Oreillons," A baa dəɓ cok nahnənni, kwəə sokki, a syen pəlli 
", 
Kpuu,Arbre," Suu kpuu bərkil (burkil) jur kpuu gbem ɓo, ka joŋ pə’man dai gbem ya A ne waa wo suu Bərkil (burkil) ka lee pəluur a, dəɓ ka ren lee ah ya ta A joŋ kpuu kor pəsahe", 
45 Pəbəm nje nje,"Un peu acide, peu amer"," Fan mo ka pəbəm pəlli ya ɓe, a yea bərma bərma Naasyiŋ mo ka pəmgbəə pəlli ya ɓe, a yea pə zah bərma bərma Jeertə ahe: Hahk hahk", 
Pəcoo,Morceau," Sal ah ka pəwah ya, a bərŋgiŋ Fan mai mo bərŋgiŋ daŋ ka kii fan a Jeertə ahe: Ɓəl, gbəjəŋ, goolom ", 
"Ɓə ma ɓyaŋ ki ne fan joŋ ahe, təgbana cii fanne",Bruit des ailes des oiseaux," Juu mo zoo ɓe, dəɓ laa cii ah bərr Juu zoo bərr Pəzyil faa daŋ juu zoo bərbər", 
Ɓə’nyah mai za mo faa cor dəɓ ne ko,"Gloire, louange, honneur"," Zahban daŋ a ne bər, wala təbər ɓəəra Mo tə bər ɓo ɓe ne? 
", 
"Saani, corre, cwaani, cwahlle, yii dəɓɓi","Glorifier, magnifier, louer, honorer, souhaiter, demander"," Mah wee bər wee ahe ŋwəə a bərra wəə ɓəə, wala zum wəə ɓəəra Wee wəə bər wee ŋwəəre Za bər goŋe Mo tə bər dəɓ ɓe ka mo tə yii dəɓ ahe ", 
"Təɗe’ təɗe’, kəka","Entièrement, totalement"," Zan syak matə bərbərri no, mai mo ka ne fan ki ya syaŋsyaŋ Wii sye yaŋ ah syak fan ah daŋ bərbərri", 
Kpəə kpəə,Sans arrêt," Me faa nyi ko kal bərtə Me tə yee zah ah laŋ kal bərtə, zyii ka uu ɗə ya 
", 
"Biriri, pəpaare","Serré, entassé"," Təzyee pəəra ne kəki bərwiwiɗ Bərwiwiɗ a cuu fan mai mo pəə mor ki, so mo təki, wala kahki vee vee", 
Rwaa dəɓok,Etre salle," Wee nyee tahra məŋjwaa ga kah oo (kəŋgəə) bəryak Dəɓ gak nəm (noo) fan ga wo suu bəryak bəryak Mər kan ɓo pə yerri ah gonwah (bəryak) Dəɓ mo 46 ’naa fan bəryak ɓe ka ’naa ɓo ka pəlli ya Bəryak gak cuu fan biŋ koo pə’manne, təgbana cok ah mo ɓyaŋ ɓo 
", 
Pəsyee nje nje,Rougeâtre," Cok joŋ ɓo səŋ bəryoo bəryoo Dəɓ gak faa mo joŋ təm ge pə naa pəlli ka, mo joŋ bəryoo bəryoo to Za faa: We ah pə nyiŋ bəryao ta Jeertə ahe: Kee, pəlli", 
"Mo ee bəmmi, ɓtv yo",Apre, , 
